Date,Open,High,Low,Close,Adj Close,Volume
"Jun 01, 2021",353.78,364.32,340.47,362.79,362.79,"3,425,775,257"
"May 31, 2021",325.81,355.98,307.94,354.33,354.33,"3,865,691,845"
"May 30, 2021",305.04,337.74,292.85,325.78,325.78,"3,246,314,973"
"May 29, 2021",328.99,346.92,296.57,305.05,305.05,"3,070,017,878"
"May 28, 2021",369.84,373.31,313.72,329.88,329.88,"4,482,824,807"
"May 27, 2021",379.69,387.49,340.89,367.66,367.66,"3,965,850,350"
"May 26, 2021",343.53,387.77,337.06,379.85,379.85,"4,502,557,689"
"May 25, 2021",345.49,374.60,307.73,344.11,344.11,"5,656,677,341"
"May 24, 2021",261.12,350.27,258.62,345.31,345.31,"6,066,277,282"
"May 23, 2021",300.04,313.53,213.52,262.95,262.95,"5,336,233,746"
"May 22, 2021",326.80,335.73,285.35,299.50,299.50,"3,871,242,832"
"May 21, 2021",391.54,415.71,275.39,326.30,326.30,"6,291,181,865"
"May 20, 2021",335.56,424.29,286.09,393.61,393.61,"7,093,839,295"
"May 19, 2021",508.86,515.72,283.45,339.03,339.03,"8,779,943,654"
"May 18, 2021",511.39,534.18,496.98,508.02,508.02,"3,548,216,902"
"May 17, 2021",564.45,564.45,486.00,511.96,511.96,"5,123,430,659"
"May 16, 2021",562.65,606.00,535.06,562.83,562.83,"4,047,395,255"
"May 15, 2021",602.55,610.51,561.17,563.04,563.04,"3,480,395,174"
"May 14, 2021",570.96,614.49,567.03,603.13,603.13,"3,735,474,448"
"May 13, 2021",592.95,632.97,530.24,571.43,571.43,"7,417,114,170"
"May 12, 2021",671.78,684.14,588.19,588.19,588.19,"4,311,561,442"
"May 11, 2021",631.24,672.46,623.25,672.33,672.33,"4,865,455,319"
"May 10, 2021",661.45,690.93,596.17,631.35,631.35,"5,157,435,389"
"May 09, 2021",646.31,678.23,631.47,662.23,662.23,"4,321,052,943"
"May 08, 2021",624.39,657.54,618.84,646.10,646.10,"3,910,931,715"
"May 07, 2021",634.01,644.12,612.16,624.56,624.56,"3,658,116,306"
"May 06, 2021",651.05,653.41,621.07,633.28,633.28,"3,975,000,211"
"May 05, 2021",609.33,656.24,605.17,651.66,651.66,"4,248,449,283"
"May 04, 2021",676.32,676.92,606.27,611.20,611.20,"5,728,175,230"
"May 03, 2021",621.90,679.82,621.90,675.68,675.68,"5,274,868,721"
"May 02, 2021",619.97,628.62,595.86,622.10,622.10,"3,765,184,551"
"May 01, 2021",622.47,641.86,611.30,619.35,619.35,"4,065,705,136"
"Apr 30, 2021",599.99,627.78,586.21,624.08,624.08,"5,741,358,048"
"Apr 29, 2021",562.87,614.82,554.28,599.71,599.71,"6,585,918,998"
"Apr 28, 2021",568.75,578.89,539.07,562.63,562.63,"3,648,784,689"
"Apr 27, 2021",535.43,578.62,525.77,568.47,568.47,"4,050,720,272"
"Apr 26, 2021",504.75,549.97,502.31,534.58,534.58,"4,072,866,875"
"Apr 25, 2021",496.26,517.08,478.89,505.08,505.08,"3,419,309,603"
"Apr 24, 2021",526.76,527.44,483.96,496.42,496.42,"4,070,234,640"
"Apr 23, 2021",505.86,530.07,452.44,526.57,526.57,"8,893,557,870"
"Apr 22, 2021",544.01,582.04,481.26,506.01,506.01,"8,342,960,849"
"Apr 21, 2021",586.90,612.69,537.35,546.02,546.02,"8,456,300,946"
"Apr 20, 2021",503.80,588.06,475.59,587.03,587.03,"9,330,924,061"
"Apr 19, 2021",481.40,539.71,469.15,505.09,505.09,"7,141,301,320"
"Apr 18, 2021",520.59,526.06,429.05,481.03,481.03,"6,711,806,048"
"Apr 17, 2021",509.58,548.60,509.05,520.42,520.42,"5,195,399,091"
"Apr 16, 2021",542.57,548.89,493.01,510.22,510.22,"6,886,285,728"
